abituriento,certified secondary school leaver
abituro,German exam for 18-year olds (i.e. by <i>abituriento</i>)
administrado,administration
aferisto,businessman
akurata,"punctual, prompt"
altlernejo,college
ambicio,ambition
atesti,"testify, bear witness; certify, attest"
bakalaŭro,holder of the baccalaureate
deviga,compulsory
diplomo,diploma
duagrada,secondary
dunganto,employer
dungito,employee
edukpensiono,boarding school
ekzemplero,copy (of book <i>etc.</i>)
elektebla,optional
fajrbrigadano,fireman
firmao,(business) firm
firmo,firm; (business) firm
greka,Greek
hortabelo,timetable
instrukcio,"directions, instructions"
internato,"boarding house, boarding wing"
/u>o,boarder
interŝanĝo,exchange
kariero,career
klarigi,"clarify, explain"
klerigado,education
kolegio,college
kopii,copy
krestomatio,"chrestomathy, anthology, reader"
kvalif(ik)i,qualify <i>(tr)</i>
laborejo,workplace
laborilo,(work) tool
latino,Latin
laŭdi,praise
lernolibro,textbook
liceo,"6<sup>th</sup> form college (16+), lycée"
maristo,sailor
metiejo,"workshop, craft shop"
metiisto,"(handi)craftsman, tradesman"
mezgrada,middle grade
mezlernejo,secondary school (11 - 15)
mikroskopo,microscope
nedeviga,optional
negocisto,"businessman, trader"
noto,"note; mark, grade"
paŭzo,"pause, break; interval"
pensionato,finishing school
poento,"point (in scoring), mark"
privata,private
profesio,profession
publika,public
puni,"punish, penalise"
reteni,"hold back, retain"
rigora,"rigorous, stringent"
salajro,"salary, wages"
silenti,be silent
slojdo,sloyd (manual training)
sperta,"experienced, expert"
starpunkto,"standpoint, viewpoint"
ŝtata,state
stevardo,"steward (on ship, plane)"
studjaro,academic year
teknologio,technology
tirani,bully
tornistro,knapsack; satchel
trimestro,term
unuagrada,primary
vagadi,wander
