(nigra) tabulo ,(black)board
(stud)programo,curriculum
angla,English
artisto,artist
arto,art
aŭtomekanikisto,(car) mechanic
bakisto,baker
biblioteko,library
biologio,biology
buĉisto,butcher
buŝa,oral
ĉeesto,"attendance, presence"
danĝero,"danger, peril"
dentisto,dentist
desegnado,drawing; design
edukado,"upbringing, (loosely) education"
eksperimento,experiment
ekzameniĝi,sit an exam
ekzameno,examination
ekzemplo,example
ekzerco,exercise
elekti,choose; elect
elektristo,electrician
fabriko,factory
fakto,fact
farmisto,farmer
feltkrajono,felt-tip pen
fiziko,physics
foresto,absence
franca,French
fremda,"foreign, strange; extraneous"
frizisto,(ladies) hairdresser
garaĝisto,garage worker
geografio,geography
germana,German
gimnastiko,gymnastics
gimnazio,"grammar-school, high school"
globkrajono,ball-point pen
grupo,group
halo,(large) hall; covered market
hejmtasko,homework
ĥemio,chemistry
hispana,Spanish
historio,history; story
inĝeniero,(professional) engineer
instruado,teaching
instruisto,teacher
kajero,exercise book
kamionisto,"lorry-driver, truck-driver"
kelnero,waiter
kemio,chemistry
klaso,class
komerco,"commerce, business"
komizo,(shop) assistant; clerk
komputero,computer
komputilo,computer; calculator; meter
krajono,pencil
kreto,chalk
kuracisto,doctor
laboratorio,laboratory
labori,"work, labour"
laboro,work
leciono,lesson
lernanto,pupil
lernejestro,headmaster
lernejo,school
lerni,learn
lernobjekto,subject (of study)
liniilo,ruler
manĝejo,dining room
matematiko,mathematics
mekanikisto,mechanic
memoro,memory
metio,"(handi)craft, trade"
ministo,miner
oficejo,"office, bureau"
optikisto,optician
papero,paper
parkere,by heart
paroli,"speak, talk"
persona,personal
poemo,poem
poezio,poetry
policisto,policeman
portisto,porter
praktika,practical
preferata,preferred
problemo,problem
progreso,progress
pupitro,(sloping-top) desk; lectern
rakonti,"tell (a story), narrate"
religio,religion
scienco,science; learning
sekretario,secretary
semestro,"semester, half-year"
seminario,"seminar; seminary, training college"
servisto,servant
skrapgumo,"eraser, rubber"
skriba,written
skribi,write
skribilo,pen
socia,social
ŝoforo,"driver, chauffeur"
soldato,soldier
studanto,student (one who is studying)
studento,(university) student
studi,study
studobjekto,subject (of study)
sukcesi,succeed
tajloro,tailor
tajpisto,typist
teknika,technical
trapasi,pass through
universitato,university
vendisto,salesperson
verki,"compose, write (essay, report, verse, play, <i>etc.</i>)"
viandisto,butcher (meat worker)
vizitadi,attend regularly
viziti,visit
