(krad)rosti,"grill, toast"
acida,sour; acid
ajlo,garlic
akra,sharp
aperitivo,aperitif
aromherbo,(culinary) herb
artiŝoko,(globe) artichoke
asparago,asparagus
avokado,avocado
bankedo,banquet
bateti,"whisk, beat lightly"
bati,"beat, strike"
batmiksita,"whipped, creamed together"
boligi,boil (something)
brezi,braise
bufedo,buffet
buljono,"bouillon, broth"
ĉampano,champagne
detabilgi (la servicon),clear away (the dishes)
digesti,digest
ebria,"drunk, inebriated"
eglefino,haddock
eskalopo,escalop
farĉi,stuff (culinary)
farunaĵoj,pastries (as in Danish pastry)
femuraĵo,? leg (<i>e.g.</i> of lamb)
fridigita,"chilled, refrigerated"
fritaĵo,fritter
frostigi,freeze (something)
fumaĵita,"smoked, smoke-cured"
haringo,herring
hepataĵo,liver (food)
ingredienco,ingredient
karamelo,caramel
kareo,curry (powder; dish)
kariofilo,clove (spice)
kaŝtano,chestnut
kipro,kipper
kirli,stir
kotleto,"cutlet, chop"
krabo,crab
krespo,pancake
kukurbo,"pumpkin; marrow, squash"
kumino,cumin
lango,tongue
leki,lick
majonezo,mayonnaise
meleagro,turkey
melongeno,"aubergine, egg-plant"
mento,mint (plant; flavour)
meringo,meringue
moruo,cod
muskato,nutmeg
omaro,lobster
origano,oregano (herb)
ovkirlaĵo,scrambled egg
pekli,(to) salt
petroselo,parsley
pika,"piquant, sharp, bitter"
pikloj,pickles
pipromento,peppermint
plentaso,cupful
poĉi,poach (<i>e.g.</i> an egg)
poreo,leek
punĉo,punch (drink)
raguo,"ragout, stew"
refreŝigaĵoj,refreshments
regali,"entertain, treat"
ren(aĵ)o,kidney
rostbefo,roast beef
safrano,saffron
sakarino,saccharine
salamo,salami
ŝelo,"peel, bark, shell, rind"
semolino,semolina
ŝereo,sherry
soleo,sole (fish)
sufleo,soufflé
surtabligi (la servicon),lay the table
ŝuti,"pour out, tip over <i>(tr)</i>"
tapioko,tapioca
teleraro,"(set of) plates, dishes"
toasto,toast (bread)
tripo,tripe; gut
truto,trout
vanilo,vanilla
vegetalano,vegan
vegetarano,vegetarian
vermuto,vermouth
viandknelo,meatball
vosto,tail
