aktualaĵo,news
amatoro,amateur; enthusiast
amplifikatoro,amplifier
aplaŭdi,"applaud, clap"
aŭdantaro,audience
aŭditorio,auditorium
baleno,whale
baleto,ballet
balkono,balcony
basbalo,baseball
batilo,(<i>e.g.</i> cricket) bat
bekfluto,recorder
ĉampioneco,championship
ĉimpanzo,chimpanzee
debuti,debut
defendanto,defender
diapozitivo,"(photo) slide, transparency"
dokumentado,documentary
dramo,drama
dribli,dribble (a football)
ekrano,screen
elsendi,transmit
fervoro,"fervour, zeal"
fervorulo,fan
fiŝado,fishing
fiŝkapti,(catch) fish
fiŝo,fish
fluto,flute
ĝirafo,giraffe
glitkuri,ice-skate
golo,goal (scored)
golulo,goal-keeper
hipopotamo,hippopotamus
hobojo,oboe
ĵudo,judo
kamelo,camel
kanguruo,kangaroo
kermeso,"kermis, village fair"
klarneto,clarinet
krimo,crime
kulturfilmo,"cultural film, art-house film"
laŭtparolilo,loudspeaker
leono,lion
leopardo,leopard
ligo,league; connection
lupo,wolf
maĉo,"match, game"
marŝi,march; walk
matĉo,"match, game"
mikrofono,microphone
novaĵfilmo,newsreel
pafilo,gun
partero,"stalls, pit (of theatre)"
pingveno,penguin
plonĝi,"dive, plunge"
pokalo,goblet; cup (trophy)
prezentado,presentation
prezenti,present; introduce; represent; depict; constitute
rakedo,racquet
remi,row
reto,net; network
rinocero,rhinoceros
ŝatokupo,"hobby, pastime"
scenejo,stage
sceno,scene
senrezulta,draw
serpento,snake
simio,monkey
sketi,skate
skii,ski
ŝlagro,hit song
spektaklo,"spectacle, display"
spektantaro,audience
stebmaŝino,sewing machine
stelulo,star (of film)
surbendigi,record (on tape)
ŝuti,"pour out, tip out <i>(tr)</i>"
svingi,"wave, brandish; fling"
tamburo,drum
teatraĵo,play (in theatre)
tigro,tiger
tobogano,toboggan
trombono,trombone
troteti,"jog, jog-trot"
trumpeto,trumpet
urso,bear
velado,sailing
veliri,sail
violonĉelo,cello
violono,violin
volanludo,badminton
volejbalo,volleyball
zebro,zebra
