(longedaŭra) disko,(long playing) record
(pop)grupo,(pop) group
aktoro,actor
amuziĝi,"be amused, entertained"
anonci,announce
atletiko,athletics
balo,"ball, dance"
bestoĝardeno,zoo
biciklo,bicycle
bileto,ticket
boato,boat
bokso,boxing
danci,dance
desegni,draw; design
detektivo,detective
diskoklubo,record club
diskoteko,record library; discotheque
distraĵo,"entertainment, amusement"
distri (sin),"entertain, divert (oneself); distract"
elefanto,elephant
entuziasma,enthusiastic
festo,"feast, festivity; party"
filmi,film
filmo,film
flankokupo,"hobby, sideline"
foti,photograph
futbalo,football (game)
galerio,gallery
gazeto,"magazine, periodical, gazette"
gitaro,guitar
grimpi,climb<i> (intr)</i>
ĝui,enjoy
hobio,hobby
hokeo,hockey
instrumento,instrument
ĵeti,throw
ĵurnalo,newspaper
kampo,field
kanti,sing
karto,card
kasedaparato,cassette player
kasedo,(tape) cassette
kinejo,cinema
klasika,classic; classical
klubo,club (society)
kolekti,collect; gather <i>(tr)</i>
komedio,comedy
koncerto,concert
kriketo,cricket
kudri,sew
kuri,run
legi,read
libro,book
ludi,play
ludkarto,playing card
ludo,game
membro,limb; member
muzeo,museum
muziko,music
naĝbaseno,swimming pool
naĝi,swim
novelo,"short story, novella"
orkestro,orchestra
paĝo,page
pentri,"paint (a picture, art, <i>etc.</i>)"
perdi,loose
piano,piano
pikniki,picnic
pilko,ball
pop(ular)a,pop
praktiki,practise
programo,programme
promeni,"go for a walk, a drive, a ride <i>etc.</i>"
radio,radio
rajdi,"ride (horse, bicycle, <i>etc.</i>)"
rakonto,"story, tale, narrative"
reklamo,advertisement
revuo,"review, journal; revue"
rezulto,result
ridi,laugh
rolo,"rôle, part"
romano,novel
rugbeo,"rugby, rugger"
ŝako,chess; check(mate)
salti,"jump, leap"
sendi,send
skolto,scout
skribi,write
sonbendo,tape (recording)
sportema,sporty
sporto,sport
stadiono,stadium
tabloteniso,table tennis
teamo,team
teatro,theatre
televidi,watch television
televidkanalo,television channel
teniso,tennis
tragedio,tragedy
trejni,"coach, train"
triki,knit <i>(tr)</i>
venki,"win (against), conquer; defeat"
vidinda,worth watching/seeing
vidindaĵo,"place of interest, sight"
vizito,visit
zoologio,zoology
