ĉia,every kind of
ĉial,for every reason
ĉiam,always
ĉie,everywhere
ĉiel,in every way
ĉien,to everywhere
ĉies,"everyone's, each one's"
ĉio,everything
ĉiom,"all, totally, the whole quantity"
ĉi-tie,here
ĉi-tien,to here
ĉi-tio,this
ĉiu,"each, every; each one, everyone"
ia,some kind of; any sort of
ial,for some reason
iam,once; sometime (in future); ever
ie,somewhere
iel,somehow
ien,to somewhere
ies,someone's
io,something; anything
iom,"a bit; some; a little, rather"
iu,someone; a certain...
kia,"what kind (of), what (a)"
kial,why
kiam,when
kie,where
kiel,"how; as, like"
kien,"where (to), whence"
kies,whose; of which
kio,what
kiom,how much; how many
kiu,who; which (one); that
nenia,no kind of
nenial,for no reason
neniam,never
nenie,nowhere
neniel,"in no way, not at all, by no means"
nenien,to nowhere
nenies,no one's
nenio,nothing
neniom,none
neniu,"nobody, no-one; neither; none"
tia,"such, that kind of"
tial,"thus, therefore, so, for that reason"
tiam,"then, at that time"
tie,there
tiel,in that manner
tien,to there
ties,than one's
tio,that
tiom (da),"so much, so many"
tiu,"that one, that"
