ambaŭ,both
centimetro,centimetre
da,of (measure but <u>not</u> numeral)
du,two
duono,half
dek,ten
funto,pound (weight)
futo,foot (measure)
galjono,gallon
grado,degree (measure); grade
gramo,gram (weight)
granda,"big, large; great"
iomete,a tiny bit
kilogramo,kilogram
kilometro,kilometre
kvar,four
kvarono,quarter
kvin,five
litro,litre
longa,long
mejlo,mile
metro,metre
mezo,middle
multa(j),"much, many"
multe (da),a lot (of)
naŭ,nine
nul,"zero, nil"
nun,now
ok,eight
pajnto,pint
peco,"piece, bit"
peza,heavy
plena,full
proksimuma,approximate
sep,seven
ses,six
sufiĉa,"sufficient, enough"
tri,three
unu,one
unua,first
unue,firstly
