adjektivo,adjective
adverbo,adverb
afikso,affix
akcento,"accent, stress"
akuzativo,accusative
aligatori,speak foreign language at E-o mtg
alineo,paragraph; indentation
artefarita,artificial
artikolo,article
babili,"chat, chatter, babble"
balbuti,"stammer, stutter"
dialekto,dialect
Esperantiĝi,become an Esperantist
Esperantujo,"place/""land"" of Esperantists"
esprimo,expression
falsaj amikoj,"""false friends"", words with misleading similarities"
finaĵo,ending
flustri,whisper
fremda,"foreign, strange; extraneous"
gepatra,parental
idiomo,"tongue, language"
idiotismo,idiom
Ido,"Ido (offshoot of, and competitor to, E-o)"
ĵargono,jargon
komo,"comma, (decimal point)"
kulturo,culture
kunmetita,compound
laŭsence,"according to sense of, not literally"
laŭvorte,"literally, verbatim, word for word"
lingvaĉo,"gibberish, jargon, jabber"
lingvaĵo,"dialect, form of speech"
majstro,"master(-craftsman), maestro"
memkritiki,self-criticise
mortinta,dead
neŭtrala,neutral
parentezo,parenthesis
parolado,speech
planita,planned
prefikso,prefix
pruntovorto,loan-word (origin in another language)
punkto,"point, dot; full stop; moment"
radiko,root
silabo,syllable
sintakso,syntax
slango,slang
strukturo,structure
substantivo,"noun, substantive"
sufikso,suffix
universala,"universal, world-wide"
verbo,verb
vivanta,living
voĉlegi,read aloud
volapukaĵo,"incomprehensible words, ""all Greek to me""."
volapuko,"Volapük (predecessor, and competitor, to E-o)"
vortfarado,"word-building, word creation"
vortprovizo,vocabulary
vortstoko,vocabulary
