(kiel) nomiĝas.....,"known as, called"
anglalingve,in English
antenti,pay attention
buŝa,oral
deklari,"declare, state"
denove,"again, afresh"
ekzemplo,example
eraro,"error, mistake"
Esperantisto,Esperanto speaker
Esperantlingve,in Esperanto
esprimi,express
flua,fluent
formo,"form, shape"
frazo,sentence
gramatiko,grammar
ĝusta,"right, correct; exact"
internacia,international
interrompi,interrupt
kapti (la sencon),grasp (the meaning)
klarigi,clarify; explain
kompreni,"understand, comprehend"
konfuzi,confuse
konsili,advise
korekti,correct
kritiki,criticise
krokodili,speak national language at E-o meeting
lingvo,language
litero,letter (of the alphabet)
literumi,spell
murmuri,murmur
nacia,national
natura,natural
pli laŭte,louder
plibonigi,improve
pravi,"be (morally) right, win argument"
priskribi,describe
problemo,problem
progresi,progress
prononci,pronounce
raporti,report
ripeti,repeat
scipovi,"know (a language, how to ..., <i>etc.</i>)"
senco,sense (meaning; direction)
senerare,"perfectly, without mistakes"
signifi,"mean, signify"
skribi,write
traduki,translate
verki,"compose, write (essay, report, verse, play, <i>etc.</i>)"
voĉo,voice
vortaro,dictionary
vorto,word
