boji,bark
boparencoj,in-laws
emerit(ul)o,"retired person, pensioner"
geedzoj,married couple
kaĝo,cage
kanario,canary
karapaco,"carapace, (tortoise's) shell"
kobajo,guinea-pig
kuniklo,rabbit
memfarado,DIY
miaŭi,"mew, miaow"
orfiŝo,goldfish
papago,parrot
parenco,"relative, relation"
pensiulo,pensioner
perlabori,earn
plenigi,fill
plenumi,fulfil
razi,shave <i>(tr)</i>
razilo,razor
ŝampuo,shampoo
senlabora,unemployed
senmona,broke
sensalajra,unemployed
skribmaŝino,typewriter
stalo,"stall, shed, stable"
tajpilo,typewriter
taŭgi,"be fit for, be of use, serve, do"
testudo,tortoise
vicparencoj,step-relatives
vivo,life
