(dom)mastrumado,housekeeping
(dom)mastrumi,keep/ manage house
(sur)porti,wear (clothing)
avino,grandmother
avo,grandfather
baki,bake <i>(tr)</i>
bebo,baby
bezoni,need
birdo,bird
brosi,brush
ĉevalo,horse
dorlotbesto,pet
dormi,sleep
duŝi,shower
edziĝi,marry (become a husband)
edziniĝi,marry (become a wife)
edzino,wife
edzo,husband
eliri,"leave, go out"
ellitiĝi,get up (out of bed)
endormiĝi,fall asleep
eniri,enter
enlitiĝi,go to bed
familio,family
fermi,"close, shut <i>(tr)</i>"
filino,daughter
filo,son
foriri,depart
forlasi,abandon; relinquish
fratino,sister
frato,brother
gajni,win
geavoj,grandparents
gefiloj,children
gefratoj,siblings
genepoj,grandchildren
genevoj,nephew(s) and niece(s)
geonkloj,uncle(s) and aunt(s)
gepatroj,parents
hamstro,hamster
helpi,help
homo,"human being, man"
hundo,dog
infano,child
kato,cat
kombi,comb
kovri,cover
kuiri,cook
kuŝi,"lie, recline"
kuzino,(female) cousin
kuzo,(male) cousin
lavi (sin),wash (oneself) <i>(tr)</i>
legi,read
malfermi,open
malplenigi,empty
malsata,hungry
malvesti (sin),undress (oneself)
meti,"put, place"
muso,mouse
najbaro,neighbour
nepino,granddaughter
nepo,grandson
nevino,niece
nevo,nephew
nutri,feed; nourish <i>(tr)</i>
okupo,occupation
onklino,aunt
onklo,uncle
paĉjo,dad
panjo,mum
patrino,mother
patro,father
persono,person; personality
poŝmono,pocket money
purigi,clean
ripozi,"rest, repose"
ŝanĝi,change <i>(tr)</i>
sekigi,dry
sekigtuko,"drying-up cloth, tea-towel"
senvestiĝi,undress
sidi,"sit, be sitting"
sidiĝi,sit down
stari,stand <i>(intr)</i>
stariĝi,stand up
televidilo,television (the apparatus)
televido,television (the medium)
tondi,"shear, clip, cut (with scissors)"
transvesti (sin).....,change (ones) clothing
uzi,use
veki,"arouse, wake up <i>(tr)</i>"
vekiĝi,wake up
vesti (sin),"clothe, dress (oneself)"
