bilanco,balance sheet
buĝeto,budget
ĉekaro,cheque book
cendo,"(US) cent, ¢ (small coin), =<sup>1</sup>/<sub>100</sub> dollar"
centavo,"(South American) centavo (small coin), =<sup>1</sup>/<sub>100</sub> peso"
centimo,"(French) centime (small coin), =<sup>1</sup>/<sub>100</sub> franc"
debeto,debit
feno,"(Chinese) fen (small coin), =<sup>1</sup>/<sub>100</sub> yuan"
forinto,(Hungarian) forint (currency)
groŝo,(Obsolete German) groschen (small coin)
imposto,tax
jeno,"(Japanese) yen, ¥ (currency)"
juano,(Chinese) yuan (currency)
kalkulo,"calculation; bill, account; calculus"
kopeko,"(Russian) copek, kopeck (small coin), =<sup>1</sup>/<sub>100</sub> rouble"
kotizo,"subscription fee, dues"
kreditkarto,credit card
kredito,credit
kruzejro,(Brazilian) cruzeiro (currency)
kurzo,rate of exchange
lepto,(Greek) mite (small coin)
marko,(German) mark (currency)
oero,(Danish) öre (small coin)
penio,"(Finnish) penny (small coin), =<sup>1</sup>/<sub>100</sub> mark"
pfenigo,"(German) pfennig (small coin), =<sup>1</sup>/<sub>100</sub> mark"
rublo,(Russian) rouble (currency)
seno,"(Japanese) sen (small coin), =<sup>1</sup>/<sub>100</sub> yen"
tarifo,tariff
validi,be valid
valuto,currency; foreign exchange
