admiri,admire
afero,matter; affair; business
ambicio,ambition
ampolo,(light)bulb
antaŭurbo,suburb
aparta (domo),detached (house)
bankuvo,bathtub
banujo,bath
bideo,bidet
bretaro,"shelves, shelving"
brovo,(eye)brow
bruli,burn <i>(intr)</i>
centra hejtado,central heating
cerbo,brain
cindrujo,ash tray
distrikto,district
drato,wire
dunganto,employer
dungito,employee
eksedziĝinta,divorced (man)
eksedziniĝinta,divorced (woman)
emerit(ul)o,pensioner
emeritiĝo,retirement
etoso,atmosphere
fajrigi,set alight
famekonata,"well known, renown"
famo,fame
fermilo,(<i>e.g.</i> window) catch
florbedo,flower bed
florkesto,window box
fotelo,armchair; (theatre) stall
frostigilo,freezer
geedziĝintaj,married
gipso,plaster (of Paris)
gladi,iron (clothes)
gladilo,iron (for clothes)
gladtabulo,ironing board
graflando,county
gramofono,gramophone
hejtforno,"heater, stove"
hoko,hook
humoro,"temper, mood"
identeco,identity
insekto,insect
intelektulo,intellectual
junulo,youth
kadro,"frame, framework; cadre"
kaduka,"ramshackle, decrepit, dilapidated, shaky"
kalsoneto,briefs
kalsono,"underpants, trunks"
klerulo,"cultured, educated person"
koltuko,scarf
kondiĉo,condition
konduti,behave
kontaktilo,circuit breaker; (electrical) connector
kontaktskatolo,(electrical) socket
krano,"tap, faucet"
kreskaĵo,plant
kreski,grow <i>(intr)</i>
kruta,steep
kunligitaj (domoj),terraced (houses)
kvartalo,quarter (part of city)
laĉo,(shoe) lace
lanugaĵo,"eiderdown, duvet"
lertulo,skilled person
lesivo,"lye, washing solution"
lesivpulvoro,detergent
maleolo,ankle
mamzono,bra
mansardo,attic
matureco,maturity
memfida,confident
memstare,independently
moroj,"mores, customs"
muŝo,fly
nervoza,nervous
okulharo,eyelash
ordema,methodical
ovingo,egg cup
pantoflo,slipper
pelvo,"basin, bowl; pelvis"
piĵamo,pyjama(s)
plata,flat
polvosuĉilo,vacuum cleaner
radiatoro,radiator
riglilo,(door) bolt
rulkurteno,(roller) blind
ŝalti,switch on
ŝaltilo,switch
sandalo,sandal
senŝeligilo,(<i>e.g.</i> potato) peeler
serena,"serene, calm"
seruro,lock
sinteno,attitude
skatolmalfermilo,can opener
ŝminko,make-up
sojlo,threshold; sill
ŝpato,spade
spongo,sponge
ŝtopilo,(<i>e.g.</i> bath) plug
ŝtuparo,staircase
ŝtupo,step
ŝutro,(window) shutter
svelta,"slim, slender"
tabureto,stool
talento,talent
tolaĵo,"linen, lingerie"
