alveni,arrive
angulo,angle; corner
ĉefstrato,"high street, main street"
ĉefurbo,capital (city)
centro,centre
ĉirkaŭaĵo,"surroundings, environment"
direkte al,"in the direction of, towards"
drinkejo,"public house, bar"
elirejo,exit
enirejo,entrance
finstacio,terminus
flanko,side
foriro,departure
historio,history; story
kastelo,castle
katedralo,cathedral
komerco,"commerce, business"
koncertejo,concert hall
konstruaĵo,building
lago,lake
loko,place
mapo,map
montaro,"highlands, mountains"
monto,mountain
nivelpasejo,level crossing
parkejo,car park
parko,park
placo,"(public) square, piazza"
regiono,region
rekte antaŭen.....,"straight on, forwards"
rivero,river
sekvi,follow
stadiono,stadium
strato,street
trafiklumoj,traffic lights
turni,turn <i>(tr)</i>
turo,tower
urbocentro,city centre
urbodomo,town hall
