(Eŭropa) Komunumo,(European) Community
(fest)parolado,(celebration) speech
(internacia) respondkupono.....,(international) (pre-paid) reply coupon
(libera) konkurenco,(open) competition
(sin) forpreni,remove (oneself)
adiaŭi,"bid farewell, (permanent) goodbye"
admoni,"exhort; tell off, admonish"
akordi,"agree, be in accord"
alkutimiĝi,"become used to, accustomed to"
anticipi,anticipate
aristokratio,aristocracy
ateisto,atheist
averti,"warn, caution"
bankedo,banquet
biblio,Bible
bonŝancon.....,"""good luck!"""
budhismo,Buddhism
deklamado,recitation; declamation
demokratio,democracy
dependi,depend
diable!,"""damn!"""
diablo,devil
diktatoro,dictator
dio,god
dirite farite,said and done
distra vespero,entertainment evening
dogmo,dogma
domaĝi,begrudge; not want to spoil; think a pity
ekonomio,economy
ekscitiĝi,get excited
eksiĝi,resign
esprimi,express
estimi,"esteem, think highly of"
estraro,"executive, board (collection of leaders)"
etoso,atmosphere (<i>fig.</i>); ethos
evangeliisto,evangelist
fanfaroni,"boast, brag"
faŝisto,fascist
favori,favour
federacio,federation
fi!,"""for shame!"""
fianĉiĝi,get engaged
fidela,faithful
fidi,trust; rely on
flirti,flutter; stream; flit; flirt
fripono,"rascal, rogue, crook"
ĝeni,"inconvenience, disturb; hamper; annoy"
gratuli,congratulate
gratulon,"""congratulations"""
grumbli,grumble
gustumi,taste (something)
hola!,"""hey! stop!"""
honora,honoured
honori,honour
ideo,idea
imperio,empire
inaŭguri,inaugurate
influi,influence
inklino,inclination
insulti,insult; revile
interkona vespero,introductory evening
islamano,Muslim
ĵaluza,jealous
jes ja,"""yes indeed!"""
Jesuo,Jesus
judo,Jew
kaj al vi!,"""and the same to you!"""
kandidato,candidate
kapjesi,nod (yes)
kapnei,shake ones head (no)
katoliko,catholic
kaŭzo,cause
klopodi,"take steps (to), endeavour, set about"
kolego,colleague; schoolfellow
koleri,be angry (with)
komunisto,communist
koncepto,concept
kongresa libro,congress (guide) book
konservativa,conservative
kontraŭi,be opposed (to)
Korano,Koran
kredi,believe
kristano,Christian
Kristo,Christ
kulpa,"guilty, to blame"
logiko,logic
Mahometo,Mohammed
mensogi,(tell a) lie
mieno,"mien, look, expression"
monarkio,monarchy
paco,peace
papo,pope
parlamento,parliament
partio,"(political) party, side; faction"
pastoro,pastor
pastro,"priest, clergyman, minister"
peston!,"""a plague, pestilence!"""
postuli,"demand, require"
prelego,"lecture, talk"
principo,principal
prizorgi,"take care of, look after"
proponi,propose; offer
protekti,"protect; back, help (a protégé)"
protestanto,Protestant
protokolisto,minute-taker
protokolo,minutes (of a meeting)
puni,"punish, penalise"
rajto,(a) right
raso,"race; breed, stock"
redakti,"edit; draft, draw up"
regali,"entertain, treat"
reĝimo,regime
regno,"state, realm, kingdom"
reĝo,king
rendevuo,rendezvous; appointment
respondeci,be responsible (for)
respubliko,republic
reto,net; network
rezidi,reside
rezigni,"forgo, renounce; give up"
riproĉi,"reproach, tell off; blame"
same al vi,"""(and) the same to you!"""
senkulpigi,"acquit, excuse, exonerate"
sensencaĵo,nonsense
simpatio,"liking, fellow-feeling"
sinagogo,synagogue
sindikato,syndicate; trades union
sinteno,attitude
skeptika,sceptical; cynical
socialisto,socialist
stelo,star
strebi (al),strive (for)
stultaĵo,stupidity
subteni,support; second (a motion)
svingi (la manon),wave
templo,temple; place of worship
terure,terribly
tolereble,tolerably
troigi,exaggerate
vero,truth
voĉdoni,vote
C.E.D.,<i>Centro de Esploro kaj Dokumatado pri la monda lingva problemo</i> = Centre for Research and Documentation on the World Language Problem
C.O.,<i>Centrala Oficejo</i> = Head Office (of UEA)
I.F.E.F.,<i>Internacia Federacio de Esperanto-Fervojistoj</i> = International Federation of Esperantist Railway workers
I.L.E.I,<i>Internacia Ligo de Esperanto-Instruistoj</i> = International League of E-o Teachers
K.E.L.I.,<i>Kristanta Esperantista Ligo Internacia</i> = Christian Esperantist International League
K.E.S.,<i>Kvakera Esperanto Societo</i> = Quaker Esperanto Society
K.K.K.,<i>Konstanta Kongresa Komitato</i> = Permanent Congress (organising) committee
K.K.S.,<i>Konstanta Kongresa Sekretario</i> = Permanent Congress (organising) secretary
No.J.E.F.,<i>Norwich Junulara Esperanto Fonduso</i> = Norwich Youth E-o Fund
S.A.T.,<i>Sennacieca Asocio Tutmonda = </i>World Non-nationalist Association
S.A.T.E.B.,<i>Sennacieca Asocio Tutmonda en Britio</i> = World Non-nationalist Association in Britain
