akcelilo,accelerator
antaŭrajto,?right of way
aŭtoŝtopi,"obstruct traffic, block traffic"
bariero,"barrier (<i>e.g.</i> level crossing, customs, <i>etc.</i>)"
baterio,battery
bremso,brake
bufro,buffer; bumper
ĉevalpovo,horsepower
deklari,"declare, state"
dogano,customs
ekflugi,take off (in aeroplane)
ekspreso,"express (train, messenger)"
elŝipiĝi,disembark (a ship)
elvagoniĝi,disembark (a train)
enŝipiĝi,embark (a ship)
envagoniĝi,embark (a train)
festotago,"bank holiday, public holiday"
gaspedalo,"accelerator, gas pedal"
glaco,plate-glass
glacoviŝilo,windscreen-wiper
hupo,"horn, hooter"
jeto,jet (plane)
kajutlito,sleeping compartment bed
kajuto,"compartment, cabin (on ship or plane)"
kapoto,"bonnet, hood (of car)"
karburilo,carburettor
kluĉi,"couple, engage"
kluĉilo,clutch (of car)
konduki,lead; bring; drive (a vehicle)
kondukpermesilo,driving licence
konduktoro,conductor
koridoro,corridor
kupeo,(railway) compartment; coupé
manometro,"manometer, pressure gauge"
monpuno,fine
mopedo,moped
pagponto,toll-bridge
parkometro,parking meter
pedalo,pedal
petveturi,hitch-hike
pram(ŝip)o,"ferry, flat-bottomed boat"
rapidtrajno,fast train
restoracivagono,restaurant car
rezervejo,reserved place
rezervi,reserve
rondirejo,(traffic) roundabout
sekurzono,"seat belt, safety belt"
selo,saddle
servostacio,service station
skotero,motor-scooter
ŝoseo,roadway; (high)road
sparkilo,sparking-plug
startigilo,starter
suplemento,supplement
surteriĝi,land (<i>e.g.</i> plane)
terplano,groundplan
trafikŝtopiĝo,traffic jam
tramo,tram
tramvojo,tramway
trefkruciĝo,intersection
trolebuso,trolleybus
vaki,be vacant
viadukto,viaduct
vojerari,"get lost, take wrong turning"
vojolaborejo,roadworks
